filename,label,conjunto
blues.00000.0.wav,blues,train
blues.00000.1.wav,blues,train
blues.00000.2.wav,blues,train
blues.00000.3.wav,blues,train
blues.00000.4.wav,blues,train
blues.00000.5.wav,blues,train
blues.00000.6.wav,blues,train
blues.00000.7.wav,blues,train
blues.00000.8.wav,blues,train
blues.00000.9.wav,blues,train
blues.00001.0.wav,blues,train
blues.00001.1.wav,blues,train
blues.00001.2.wav,blues,train
blues.00001.3.wav,blues,train
blues.00001.4.wav,blues,train
blues.00001.5.wav,blues,train
blues.00001.6.wav,blues,train
blues.00001.7.wav,blues,train
blues.00001.8.wav,blues,train
blues.00001.9.wav,blues,train
blues.00002.0.wav,blues,train
blues.00002.1.wav,blues,train
blues.00002.2.wav,blues,train
blues.00002.3.wav,blues,train
blues.00002.4.wav,blues,train
blues.00002.5.wav,blues,train
blues.00002.6.wav,blues,train
blues.00002.7.wav,blues,train
blues.00002.8.wav,blues,train
blues.00002.9.wav,blues,train
blues.00003.0.wav,blues,train
blues.00003.1.wav,blues,train
blues.00003.2.wav,blues,train
blues.00003.3.wav,blues,train
blues.00003.4.wav,blues,train
blues.00003.5.wav,blues,train
blues.00003.6.wav,blues,train
blues.00003.7.wav,blues,train
blues.00003.8.wav,blues,train
blues.00003.9.wav,blues,train
blues.00004.0.wav,blues,train
blues.00004.1.wav,blues,train
blues.00004.2.wav,blues,train
blues.00004.3.wav,blues,train
blues.00004.4.wav,blues,train
blues.00004.5.wav,blues,train
blues.00004.6.wav,blues,train
blues.00004.7.wav,blues,train
blues.00004.8.wav,blues,train
blues.00004.9.wav,blues,train
blues.00005.0.wav,blues,train
blues.00005.1.wav,blues,train
blues.00005.2.wav,blues,train
blues.00005.3.wav,blues,train
blues.00005.4.wav,blues,train
blues.00005.5.wav,blues,train
blues.00005.6.wav,blues,train
blues.00005.7.wav,blues,train
blues.00005.8.wav,blues,train
blues.00005.9.wav,blues,train
blues.00006.0.wav,blues,train
blues.00006.1.wav,blues,train
blues.00006.2.wav,blues,train
