filename,label,prediccion,acierto
blues.00023.0.wav,blues,blues,True
blues.00023.1.wav,blues,blues,True
blues.00023.2.wav,blues,jazz,False
blues.00023.3.wav,blues,jazz,False
blues.00023.4.wav,blues,jazz,False
blues.00023.5.wav,blues,jazz,False
blues.00023.6.wav,blues,blues,True
blues.00023.7.wav,blues,jazz,False
blues.00023.8.wav,blues,jazz,False
blues.00023.9.wav,blues,blues,True
blues.00030.0.wav,blues,blues,True
blues.00030.1.wav,blues,blues,True
blues.00030.2.wav,blues,blues,True
blues.00030.3.wav,blues,blues,True
blues.00030.4.wav,blues,blues,True
blues.00030.5.wav,blues,blues,True
blues.00030.6.wav,blues,blues,True
blues.00030.7.wav,blues,blues,True
blues.00030.8.wav,blues,blues,True
blues.00030.9.wav,blues,blues,True
blues.00039.0.wav,blues,blues,True
blues.00039.1.wav,blues,blues,True
blues.00039.2.wav,blues,disco,False
blues.00039.3.wav,blues,blues,True
blues.00039.4.wav,blues,blues,True
blues.00039.5.wav,blues,blues,True
blues.00039.6.wav,blues,reggae,False
blues.00039.7.wav,blues,blues,True
blues.00039.8.wav,blues,blues,True
blues.00039.9.wav,blues,blues,True
blues.00044.0.wav,blues,blues,True
blues.00044.1.wav,blues,blues,True
blues.00044.2.wav,blues,blues,True
blues.00044.3.wav,blues,blues,True
blues.00044.4.wav,blues,blues,True
blues.00044.5.wav,blues,blues,True
blues.00044.6.wav,blues,blues,True
blues.00044.7.wav,blues,blues,True
blues.00044.8.wav,blues,blues,True
blues.00044.9.wav,blues,blues,True
blues.00049.0.wav,blues,blues,True
blues.00049.1.wav,blues,rock,False
blues.00049.2.wav,blues,rock,False
blues.00049.3.wav,blues,rock,False
blues.00049.4.wav,blues,rock,False
blues.00049.5.wav,blues,blues,True
blues.00049.6.wav,blues,rock,False
blues.00049.7.wav,blues,rock,False
blues.00049.8.wav,blues,blues,True
blues.00049.9.wav,blues,jazz,False
blues.00059.0.wav,blues,blues,True
blues.00059.1.wav,blues,blues,True
blues.00059.2.wav,blues,blues,True
blues.00059.3.wav,blues,blues,True
blues.00059.4.wav,blues,blues,True
blues.00059.5.wav,blues,blues,True
blues.00059.6.wav,blues,blues,True
blues.00059.7.wav,blues,blues,True
blues.00059.8.wav,blues,blues,True
blues.00059.9.wav,blues,blues,True
blues.00060.0.wav,blues,blues,True
blues.00060.1.wav,blues,blues,True
blues.00060.2.wav,blues,metal,False
blues.00060.3.wav,blues,blues,True
blues.00060.4.wav,blues,blues,True
blues.00060.5.wav,blues,blues,True
blues.00060.6.wav,blues,blues,True
blues.00060.7.wav,blues,blues,True
blues.00060.8.wav,blues,blues,True
blues.00060.9.wav,blues,blues,True
blues.00063.0.wav,blues,blues,True
blues.00063.1.wav,blues,blues,True
blues.00063.2.wav,blues,hiphop,False
blues.00063.3.wav,blues,metal,False
blues.00063.4.wav,blues,blues,True
blues.00063.5.wav,blues,blues,True
blues.00063.6.wav,blues,rock,False
blues.00063.7.wav,blues,metal,False
blues.00063.8.wav,blues,rock,False
blues.00063.9.wav,blues,rock,False
blues.00065.0.wav,blues,rock,False
blues.00065.1.wav,blues,blues,True
blues.00065.2.wav,blues,rock,False
blues.00065.3.wav,blues,rock,False
blues.00065.4.wav,blues,rock,False
blues.00065.5.wav,blues,blues,True
blues.00065.6.wav,blues,rock,False
blues.00065.7.wav,blues,blues,True
blues.00065.8.wav,blues,blues,True
blues.00065.9.wav,blues,rock,False
blues.00066.0.wav,blues,rock,False
blues.00066.1.wav,blues,reggae,False
blues.00066.2.wav,blues,country,False
blues.00066.3.wav,blues,country,False
blues.00066.4.wav,blues,hiphop,False
blues.00066.5.wav,blues,hiphop,False
blues.00066.6.wav,blues,blues,True
blues.00066.7.wav,blues,rock,False
blues.00066.8.wav,blues,blues,True
blues.00066.9.wav,blues,blues,True
blues.00067.0.wav,blues,metal,False
blues.00067.1.wav,blues,metal,False
blues.00067.2.wav,blues,country,False
blues.00067.3.wav,blues,blues,True
blues.00067.4.wav,blues,blues,True
blues.00067.5.wav,blues,country,False
blues.00067.6.wav,blues,metal,False
blues.00067.7.wav,blues,metal,False
blues.00067.8.wav,blues,metal,False
blues.00067.9.wav,blues,blues,True
blues.00070.0.wav,blues,country,False
blues.00070.1.wav,blues,country,False
blues.00070.2.wav,blues,rock,False
blues.00070.3.wav,blues,blues,True
blues.00070.4.wav,blues,country,False
blues.00070.5.wav,blues,country,False
blues.00070.6.wav,blues,country,False
blues.00070.7.wav,blues,rock,False
blues.00070.8.wav,blues,reggae,False
blues.00070.9.wav,blues,country,False
blues.00072.0.wav,blues,metal,False
blues.00072.1.wav,blues,blues,True
blues.00072.2.wav,blues,blues,True
blues.00072.3.wav,blues,metal,False
blues.00072.4.wav,blues,blues,True
blues.00072.5.wav,blues,blues,True
blues.00072.6.wav,blues,blues,True
blues.00072.7.wav,blues,blues,True
blues.00072.8.wav,blues,blues,True
blues.00072.9.wav,blues,blues,True
blues.00076.0.wav,blues,classical,False
blues.00076.1.wav,blues,blues,True
blues.00076.2.wav,blues,classical,False
blues.00076.3.wav,blues,rock,False
blues.00076.4.wav,blues,classical,False
blues.00076.5.wav,blues,metal,False
blues.00076.6.wav,blues,classical,False
blues.00076.7.wav,blues,classical,False
blues.00076.8.wav,blues,classical,False
blues.00076.9.wav,blues,metal,False
blues.00078.0.wav,blues,blues,True
blues.00078.1.wav,blues,blues,True
blues.00078.2.wav,blues,blues,True
blues.00078.3.wav,blues,blues,True
blues.00078.4.wav,blues,blues,True
blues.00078.5.wav,blues,blues,True
blues.00078.6.wav,blues,blues,True
blues.00078.7.wav,blues,blues,True
blues.00078.8.wav,blues,blues,True
blues.00078.9.wav,blues,blues,True
blues.00086.0.wav,blues,blues,True
blues.00086.1.wav,blues,country,False
blues.00086.2.wav,blues,blues,True
blues.00086.3.wav,blues,blues,True
blues.00086.4.wav,blues,blues,True
blues.00086.5.wav,blues,blues,True
blues.00086.6.wav,blues,blues,True
blues.00086.7.wav,blues,blues,True
blues.00086.8.wav,blues,blues,True
blues.00086.9.wav,blues,blues,True
blues.00088.0.wav,blues,blues,True
blues.00088.1.wav,blues,blues,True
blues.00088.2.wav,blues,blues,True
blues.00088.3.wav,blues,blues,True
blues.00088.4.wav,blues,rock,False
blues.00088.5.wav,blues,blues,True
blues.00088.6.wav,blues,blues,True
blues.00088.7.wav,blues,blues,True
blues.00088.8.wav,blues,blues,True
blues.00088.9.wav,blues,blues,True
blues.00096.0.wav,blues,classical,False
blues.00096.1.wav,blues,classical,False
blues.00096.2.wav,blues,jazz,False
blues.00096.3.wav,blues,classical,False
blues.00096.4.wav,blues,jazz,False
blues.00096.5.wav,blues,country,False
blues.00096.6.wav,blues,country,False
blues.00096.7.wav,blues,country,False
blues.00096.8.wav,blues,blues,True
blues.00096.9.wav,blues,blues,True
classical.00007.0.wav,classical,classical,True
classical.00007.1.wav,classical,classical,True
classical.00007.2.wav,classical,classical,True
classical.00007.3.wav,classical,classical,True
classical.00007.4.wav,classical,classical,True
classical.00007.5.wav,classical,classical,True
classical.00007.6.wav,classical,classical,True
classical.00007.7.wav,classical,classical,True
classical.00007.8.wav,classical,classical,True
classical.00007.9.wav,classical,classical,True
classical.00010.0.wav,classical,classical,True
classical.00010.1.wav,classical,classical,True
classical.00010.2.wav,classical,classical,True
classical.00010.3.wav,classical,classical,True
classical.00010.4.wav,classical,classical,True
classical.00010.5.wav,classical,classical,True
classical.00010.6.wav,classical,classical,True
classical.00010.7.wav,classical,classical,True
classical.00010.8.wav,classical,blues,False
classical.00010.9.wav,classical,classical,True
classical.00020.0.wav,classical,classical,True
classical.00020.1.wav,classical,classical,True
classical.00020.2.wav,classical,classical,True
classical.00020.3.wav,classical,classical,True
classical.00020.4.wav,classical,classical,True
classical.00020.5.wav,classical,classical,True
classical.00020.6.wav,classical,classical,True
classical.00020.7.wav,classical,classical,True
classical.00020.8.wav,classical,classical,True
classical.00020.9.wav,classical,classical,True
classical.00036.0.wav,classical,classical,True
classical.00036.1.wav,classical,classical,True
classical.00036.2.wav,classical,jazz,False
classical.00036.3.wav,classical,jazz,False
