epoca,perdida
1,2.32094669342041
2,2.1887929439544678
3,2.0750324726104736
4,1.9661939144134521
5,1.8601596355438232
6,1.7599775791168213
7,1.6688061952590942
8,1.5869114398956299
9,1.5133788585662842
10,1.4488427639007568
11,1.3946998119354248
12,1.3501571416854858
13,1.311761736869812
14,1.2760792970657349
15,1.2421808242797852
16,1.211282730102539
17,1.184497356414795
18,1.1608049869537354
19,1.1381603479385376
20,1.1155338287353516
21,1.0933486223220825
22,1.0724595785140991
23,1.052892804145813
24,1.0339301824569702
25,1.0152413845062256
26,0.9970503449440002
27,0.9795441627502441
28,0.962643027305603
29,0.9461184740066528
30,0.9301381707191467
31,0.9150760173797607
32,0.9010549187660217
33,0.8878126740455627
34,0.8749463558197021
35,0.8622372150421143
36,0.8499010801315308
37,0.8381853103637695
38,0.8270934820175171
39,0.8163529634475708
40,0.8058998584747314
41,0.7957150340080261
42,0.7857993245124817
43,0.7761483192443848
44,0.7667462229728699
45,0.7575799226760864
46,0.7487257719039917
47,0.7402600646018982
48,0.7321125268936157
49,0.7242251038551331
50,0.716576874256134
51,0.7090885639190674
52,0.7017927765846252
53,0.6947593092918396
54,0.6879334449768066
55,0.6812691688537598
56,0.6747623085975647
57,0.6685117483139038
58,0.6625235080718994
59,0.6567341685295105
60,0.6510338187217712
61,0.64543616771698
62,0.6399626135826111
63,0.6346031427383423
64,0.6293237805366516
65,0.6240831613540649
66,0.618909478187561
67,0.6138303875923157
68,0.6088630557060242
69,0.6039901375770569
70,0.5991933941841125
71,0.5944565534591675
72,0.5897736549377441
73,0.5851572155952454
74,0.5806237459182739
75,0.5761532187461853
76,0.5717690587043762
77,0.567491352558136
78,0.5632799863815308
79,0.5591320395469666
80,0.5550462603569031
81,0.5510178804397583
82,0.5470612645149231
83,0.543163001537323
84,0.5393264293670654
85,0.5355365872383118
86,0.5317988395690918
87,0.5281059145927429
88,0.5244751572608948
89,0.5209033489227295
90,0.5173834562301636
91,0.5139283537864685
92,0.5105342268943787
93,0.5071972012519836
94,0.5039068460464478
95,0.5006557106971741
96,0.4974510371685028
97,0.494293749332428
98,0.4911941885948181
99,0.48814722895622253
100,0.4851466417312622
101,0.48216956853866577
102,0.47922253608703613
103,0.4763069450855255
104,0.4734151363372803
105,0.4705567955970764
106,0.4677351713180542
107,0.46494731307029724
108,0.4621993899345398
109,0.45948678255081177
110,0.4567800462245941
111,0.45409148931503296
112,0.4514264464378357
113,0.44879522919654846
114,0.4461803734302521
115,0.4435897171497345
116,0.4410131275653839
117,0.43846243619918823
118,0.43593525886535645
119,0.4334234893321991
120,0.4309386610984802
121,0.4284811019897461
122,0.42604538798332214
123,0.42362281680107117
124,0.42121464014053345
125,0.41883665323257446
126,0.4164840877056122
127,0.41413968801498413
128,0.41181015968322754
129,0.4094865322113037
130,0.4071740508079529
131,0.4048643410205841
132,0.4025791883468628
133,0.40032219886779785
134,0.39809074997901917
135,0.3958788216114044
136,0.39366400241851807
137,0.3914753496646881
138,0.38930436968803406
139,0.3871360719203949
140,0.38497525453567505
141,0.3828151524066925
142,0.3806600272655487
143,0.3785227835178375
144,0.37640777230262756
145,0.3743232786655426
146,0.37226492166519165
147,0.3702303469181061
148,0.3682003319263458
149,0.36618638038635254
150,0.3641921281814575
